"english","target","hint","explanation","level"
"We do not have to get up early on Sunday.","Am Sonntag müssen wir nicht früh aufstehen.","nicht müssen means no obligation.","Mondatváza:
`Pozíció 1 + müssen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Am …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
„nicht müssen” azt jelenti, hogy nem kötelező; nem azt, hogy tilos.

Gyors igeelemzés:
Ragozott ige: „müssen” (müssen); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Should I bring you another coffee?","Soll ich dir noch einen Kaffee bringen?","Question: conjugated modal comes first.","Mondatváza:
`V1 kérdés: Soll + alany + középmező + infinitív/mondatzáró elem`

Szórend – miért így:
Eldöntendő kérdés, ezért a ragozott ige („Soll”) kerül az első helyre, utána jön az alany. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „Soll” (sollen); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You do not have to answer if you do not want to.","Du musst nicht antworten, wenn du nicht willst.","nicht müssen means no obligation.","Mondatváza:
`Pozíció 1 + musst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („musst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
„nicht müssen” azt jelenti, hogy nem kötelező; nem azt, hogy tilos.

Gyors igeelemzés:
Ragozott ige: „musst” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I only wanted to do some quick shopping yesterday.","Ich wollte gestern nur kurz einkaufen.","Common modal in the simple past.","Mondatváza:
`Pozíció 1 + ragozott módosító ige (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I would rather be by the sea now.","Ich wäre jetzt lieber am Meer.","Konjunktiv II of sein: hypothetical state.","Mondatváza:
`Pozíció 1 + wäre (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wäre”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „wäre” (sein (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"You would have stood out immediately in this jacket.","Du wärst mit dieser Jacke sofort aufgefallen.","Konjunktiv II of sein.","Mondatváza:
`Pozíció 1 + wärst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wärst”) pedig a második mondatrészben.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „wärst” (sein (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"We would be completely lost without a satnav.","Wir wären ohne Navi völlig verloren.","Konjunktiv II: imagined present situation.","Mondatváza:
`Pozíció 1 + wären (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wären”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „wären” (sein (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I would like a seat by the window.","Ich hätte gern einen Platz am Fenster.","hätte gern expresses a polite wish.","Mondatváza:
`Pozíció 1 + hätte (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hätte”) pedig a második mondatrészben.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
„am Fenster” = „an dem Fenster”: helyet jelöl, ezért Dativ.

Gyors igeelemzés:
Ragozott ige: „hätte” (haben (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"You would have more time if you worked less.","Du hättest mehr Zeit, wenn du weniger arbeiten würdest.","Present condition: wenn + Konjunktiv II.","Mondatváza:
`Pozíció 1 + hättest (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hättest”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hättest” (haben (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"We would have more space if the table were smaller.","Wir hätten mehr Platz, wenn der Tisch kleiner wäre.","Present condition: wenn + Konjunktiv II.","Mondatváza:
`Pozíció 1 + hätten (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hätten”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „hätten” (haben (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I would quit immediately if I had enough money.","Ich würde sofort kündigen, wenn ich genug Geld hätte.","würde + infinitive; wenn-clause ends with verb.","Mondatváza:
`Pozíció 1 + würde (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („würde”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „würde” (werden (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"You would do the same in my place.","Du würdest an meiner Stelle das Gleiche tun.","würde + infinitive expresses a hypothetical action.","Mondatváza:
`Pozíció 1 + würdest (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („würdest”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
„an meiner Stelle” rögzült kifejezés: „az én helyemben”; helyzetként Dativ.

Gyors igeelemzés:
Ragozott ige: „würdest” (werden (Konjunktiv II)); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
